ID	ProcessClassPhaseParameter_ID	Phase_ID	Name	Description	TagAddress	MaterialTagAddress	MaterialNameTagAddress	MaterialCodeTagAddress	MaterialSupplier1TagAddress	MaterialSupplier2TagAddress	LastSaved	ConfiguredBy
145	78	630	T0472_ManAdd_MaterialID	Material ID	T0472_Phase_ManAdd_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-09 17:08:16.190	TPMDB
146	78	633	T0473_ManAdd_MaterialID	Material ID	T0473_Phase_ManAdd_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-09 17:08:16.190	TPMDB
147	79	627	T0471_ManAdd_TargetAmount	Target Amount	T0471_Phase_ManAdd_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.900	TPMDB
148	79	630	T0472_ManAdd_TargetAmount	Target Amount	T0472_Phase_ManAdd_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.903	TPMDB
149	79	633	T0473_ManAdd_TargetAmount	Target Amount	T0473_Phase_ManAdd_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.907	TPMDB
150	80	625	T0471_Prod_PremixWaterSP	Premix Water SP	T0471_Phase_Prod_Par_PremixWaterSP		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.903	TPMDB
151	80	628	T0472_Prod_PremixWaterSP	Premix Water SP	T0472_Phase_Prod_Par_PremixWaterSP		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.903	TPMDB
152	80	631	T0473_Prod_PremixWaterSP	Premix Water SP	T0473_Phase_Prod_Par_PremixWaterSP		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.907	TPMDB
153	12	389	T0511_Circ_PhaseMode	PhaseMode	T0511_Phase_Circ_Par_PhaseMode	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:26.910	TPMDB
154	12	396	T0512_Circ_PhaseMode	PhaseMode	T0512_Phase_Circ_Par_PhaseMode	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:26.910	TPMDB
155	12	403	T0513_Circ_PhaseMode	PhaseMode	T0513_Phase_Circ_Par_PhaseMode	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:26.927	TPMDB
156	12	410	T0514_Circ_PhaseMode	PhaseMode	T0514_Phase_Circ_Par_PhaseMode	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:26.927	TPMDB
157	12	417	T0515_Circ_PhaseMode	PhaseMode	T0515_Phase_Circ_Par_PhaseMode	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:26.927	TPMDB
158	12	424	T0516_Circ_PhaseMode	PhaseMode	T0516_Phase_Circ_Par_PhaseMode	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:26.940	TPMDB
159	81	395	T0511_Wait_WaitTime	WaitingTime	T0511_Phase_Wait_Par_WaitTime	NULL	NULL	NULL	NULL	NULL	2022-03-08 12:31:53.017	TPMDB
160	81	402	T0512_Wait_WaitTime	WaitingTime	T0512_Phase_Wait_Par_WaitTime	NULL	NULL	NULL	NULL	NULL	2022-03-08 12:31:53.020	TPMDB
161	81	409	T0513_Wait_WaitTime	WaitingTime	T0513_Phase_Wait_Par_WaitTime	NULL	NULL	NULL	NULL	NULL	2022-03-08 12:31:53.020	TPMDB
162	81	416	T0514_Wait_WaitTime	WaitingTime	T0514_Phase_Wait_Par_WaitTime	NULL	NULL	NULL	NULL	NULL	2022-03-08 12:31:53.023	TPMDB
163	81	423	T0515_Wait_WaitTime	WaitingTime	T0515_Phase_Wait_Par_WaitTime	NULL	NULL	NULL	NULL	NULL	2022-03-08 12:31:53.027	TPMDB
164	81	430	T0516_Wait_WaitTime	WaitingTime	T0516_Phase_Wait_Par_WaitTime	NULL	NULL	NULL	NULL	NULL	2022-03-08 12:31:53.027	TPMDB
165	54	1026	L0120_Prod_TargetAmount	Target Amount for TEA Line	L0120_Phase_Prod_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.833	TPMDB
172	82	389	T0511_Circ_AutoComplete	Auto Complete	T0511_Phase_Circ_Par_AutoComplete	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:12.613	TPMDB
173	82	396	T0512_Circ_AutoComplete	Auto Complete	T0512_Phase_Circ_Par_AutoComplete	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:12.613	TPMDB
174	82	403	T0513_Circ_AutoComplete	Auto Complete	T0513_Phase_Circ_Par_AutoComplete	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:12.613	TPMDB
175	82	410	T0514_Circ_AutoComplete	Auto Complete	T0514_Phase_Circ_Par_AutoComplete	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:12.613	TPMDB
176	82	417	T0515_Circ_AutoComplete	Auto Complete	T0515_Phase_Circ_Par_AutoComplete	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:12.613	TPMDB
177	82	424	T0516_Circ_AutoComplete	Auto Complete	T0516_Phase_Circ_Par_AutoComplete	NULL	NULL	NULL	NULL	NULL	2022-04-14 14:39:12.613	TPMDB
178	88	1086	T0451_Agit_AutoComplete	Auto Complete		NULL	NULL	NULL	NULL	NULL	2022-04-14 15:20:43.090	TPMDB
179	88	1087	T0461_Agit_AutoComplete	Auto Complete		NULL	NULL	NULL	NULL	NULL	2022-04-14 15:20:43.090	TPMDB
180	89	673	L4713_Prod_TargetAmount	Target Amount	L4713_Phase_Prod_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.880	TPMDB
181	89	678	L4712_Prod_TargetAmount	Target Amount	L4712_Phase_Prod_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.877	TPMDB
182	89	683	L4711_Prod_TargetAmount	Target Amount	L4711_Phase_Prod_Par_TargetAmount		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.877	TPMDB
183	90	392	T0511_Fill_TotalWaterSP	Total Water SP	T0511_Unit_Par_TotalWaterSP	NULL	NULL	NULL	NULL	NULL	2022-05-23 09:30:15.850	TPMDB
184	90	399	T0512_Fill_TotalWaterSP	Total Water SP	T0512_Unit_Par_TotalWaterSP	NULL	NULL	NULL	NULL	NULL	2022-05-23 09:30:15.850	TPMDB
185	90	406	T0513_Fill_TotalWaterSP	Total Water SP	T0513_Unit_Par_TotalWaterSP	NULL	NULL	NULL	NULL	NULL	2022-05-23 09:30:15.850	TPMDB
